trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-120.05396771661023,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-162.1120642033064,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-149.9893366006777,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-259.4622008983099,"{0: 14, 1: 5, 2: 13, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-63.290524009629806,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-84.76713921929688,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-88.60348644329224,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-114.53619061668309,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-43.50852472372806,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,12,-93.71881936198791,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,9,-68.23075179869473,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,18,-123.92745090333452,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 3}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-38.104431396942246,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-93.72317978237804,"{0: 28, 1: 1, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-130.42874826547248,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,9,-39.40899695027079,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,7,-134.50644800621455,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 3}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-46.376843307306544,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,7,2.806848030984985,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,9,10.226154579054855,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,15,-24.989709506782418,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,2,-15.146573984763993,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-105.66127636041574,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,13,20.636472027376648,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,13,15.993725594875826,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-29.632136942977095,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,2,-95.10481257276639,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 3}",1
8,True,"{'a': 0, 'e': 0}",30,0,22.86797453725142,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,5,-38.78667301901932,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,0,-67.39648704336038,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
