trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-213.93664178664247,"{0: 14, 1: 7, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-74.45785324052369,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-132.7965690175708,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-57.24836086186534,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-220.9202978813477,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-117.45299324693153,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-94.50845547473824,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,8,-17.474657262171256,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-45.189279997038156,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-111.92976457796458,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,14,-12.021046554376483,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-10.358861976529052,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-72.97623119488216,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,13,3.4095955674799385,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-28.018104266469795,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-57.65796142586989,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,13,-6.703532693228322,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-4.399707394413822,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-33.471538210138014,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,17.692323373931053,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-74.04897003691283,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",35,1,12.315694443824139,"{0: 31, 1: 1, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-109.62654202595405,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",20,0,-3.0084472744147823,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,10,12.141334671133183,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,17.259616809996214,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,2,-19.674661773400754,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",30,10,19.40181341116825,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-21.223935270106093,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,11,-18.618348983899526,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
