trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",25,0,-35.46721494529422,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.9, 'e': 0.997004495503373}",20,0,-118.23401263880896,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.9940179640539353}",30,0,-171.09378637276458,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.9, 'e': 0.9910403787728836}",25,0,-58.30715850733783,"{0: 14, 1: 7, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.9, 'e': 0.9880717128619305}",25,0,-245.94534619345976,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 5}",0
6,False,"{'a': 0.9, 'e': 0.9851119396030626}",25,0,-181.86064347295348,"{0: 10, 1: 5, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.9, 'e': 0.9821610323583008}",20,0,-128.42166812067705,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.9, 'e': 0.9792189645694596}",30,0,-203.25672565992545,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
9,False,"{'a': 0.9, 'e': 0.9762857097579093}",25,0,-100.01064002965454,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.9733612415243368}",20,0,-99.388885031839,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.9, 'e': 0.9704455335485082}",25,0,-83.7824392086319,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.967538559589032}",30,9,5.922004977051374,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.9, 'e': 0.9646402934831231}",30,0,-121.7983715393159,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.9, 'e': 0.9617507091463667}",30,0,-55.786127361467024,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.9, 'e': 0.9588697805724845}",20,0,-150.38776769720337,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 4}",0
16,False,"{'a': 0.9, 'e': 0.9559974818331}",30,8,-82.04062656193855,"{0: 13, 1: 6, 2: 1, 3: 1, 4: 1}",1
17,False,"{'a': 0.9, 'e': 0.9531337870775047}",30,0,-76.06922101198532,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.9, 'e': 0.950278670532427}",20,0,-72.67147677605085,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.9, 'e': 0.9474321065017983}",25,0,-113.45856968698389,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.9, 'e': 0.9445940693665233}",25,0,-121.81013420178189,"{0: 14, 1: 7, 2: 2, 3: 0, 4: 2}",0
21,False,"{'a': 0.9, 'e': 0.9417645335842487}",25,8,-15.440248795350573,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
22,False,"{'a': 0.9, 'e': 0.9389434736891332}",20,0,-20.81432869581885,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.9, 'e': 0.9361308642916188}",30,0,-112.33657503127118,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
24,False,"{'a': 0.9, 'e': 0.933326680078202}",25,0,-185.04334084579526,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
25,False,"{'a': 0.9, 'e': 0.9305308958112057}",20,0,-76.10514327153022,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.9, 'e': 0.9277434863285529}",20,0,-133.05215944718424,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
27,False,"{'a': 0.9, 'e': 0.9249644265435393}",20,0,-83.12456108661716,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.9, 'e': 0.922193691444608}",25,0,-103.94798948004104,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.9, 'e': 0.9194312560951247}",25,0,-295.54182938261397,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 7}",0
30,False,"{'a': 0.9, 'e': 0.9166770956331523}",20,0,-33.22340740564877,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
31,False,"{'a': 0.9, 'e': 0.9139311852712282}",30,0,-163.0192231059984,"{0: 20, 1: 0, 2: 7, 3: 0, 4: 3}",0
32,False,"{'a': 0.9, 'e': 0.9111935002961405}",30,0,-100.19669763491369,"{0: 16, 1: 11, 2: 2, 3: 0, 4: 1}",0
33,False,"{'a': 0.9, 'e': 0.9084640160687062}",20,7,-47.682979485348575,"{0: 6, 1: 2, 2: 5, 3: 0, 4: 0}",1
34,False,"{'a': 0.9, 'e': 0.9057427080235485}",20,0,-138.4205057956438,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
35,False,"{'a': 0.9, 'e': 0.9030295516688768}",20,0,-85.37276357997706,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
36,False,"{'a': 0.9, 'e': 0.9003245225862656}",20,0,-136.74397164361966,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
