trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.99}",20,0,-149.32315686948962,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
2,False,"{'a': 0.8, 'e': 0.98}",25,0,-108.7548288524935,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.8, 'e': 0.97}",20,0,-123.57789836971033,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.8, 'e': 0.96}",20,0,-194.9854646877383,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
5,False,"{'a': 0.8, 'e': 0.95}",25,0,-136.1442918432702,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.8, 'e': 0.94}",20,0,-102.17567582080699,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.9299999999999999}",25,0,-155.54223743768537,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.9199999999999999}",25,0,-161.1500059161385,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.8, 'e': 0.9099999999999999}",20,2,-120.93016834598264,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 2}",1
10,False,"{'a': 0.8, 'e': 0.8999999999999999}",25,0,-112.47764725205658,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.8, 'e': 0.8899999999999999}",20,0,-67.02147855864396,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.8799999999999999}",25,0,-181.03488356843687,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.8, 'e': 0.8699999999999999}",20,0,-104.57530104970883,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.8599999999999999}",25,0,-166.2544476470611,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.8, 'e': 0.8499999999999999}",20,15,5.2152017166744855,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.8, 'e': 0.8399999999999999}",25,0,-178.5943585525182,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.8, 'e': 0.8299999999999998}",20,0,-144.14302868908962,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.8, 'e': 0.8199999999999998}",20,0,-123.08030922177309,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.8, 'e': 0.8099999999999998}",20,0,-110.1719168972134,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.7999999999999998}",25,0,-21.87057990876728,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-145.15181421689218,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-139.3017460632623,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-175.63408393724532,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,0,-99.06884258348104,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-222.4691838383715,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",20,0,-71.441661702157,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-76.31912113626193,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,9,-77.59336424446916,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,0,-89.91213008840042,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,14,2.1193122023034765,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
